record_type,city,record_id,field,baseline_value,priority,status
project,תל אביב-יפו,ta-almog-complex,financing_bank,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-almog-complex,address,,HIGH,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-almog-complex,street,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-almog-complex,street_number,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-almog-complex,latitude,32.05899,HIGH,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-almog-complex,longitude,34.79285,HIGH,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-almog-complex,permit_status,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-almog-complex,construction_status,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-almog-complex,estimated_delivery,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-almog-complex,number_of_units,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-almog-complex,apartments_per_floor,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-almog-complex,number_of_elevators,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-almog-complex,room_range,[],NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-almog-complex,area_range_sqm,[],NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-almog-complex,parking,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-almog-complex,storage,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-almog-complex,mamad,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-almog-complex,balcony,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-almog-complex,garden,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-almog-complex,payment_terms,[],NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-almog-complex,promotions,[],NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-almog-complex,known_unit_variants,[],HIGH,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-laguardia-35-45,contractor_company,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-laguardia-35-45,marketing_company,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-laguardia-35-45,architect,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-laguardia-35-45,financing_bank,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-laguardia-35-45,street_number,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-laguardia-35-45,latitude,32.05899,HIGH,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-laguardia-35-45,longitude,34.79285,HIGH,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-laguardia-35-45,permit_status,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-laguardia-35-45,estimated_delivery,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-laguardia-35-45,apartments_per_floor,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-laguardia-35-45,number_of_elevators,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-laguardia-35-45,room_range,[],NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-laguardia-35-45,area_range_sqm,[],NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-laguardia-35-45,parking,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-laguardia-35-45,storage,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-laguardia-35-45,mamad,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-laguardia-35-45,balcony,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-laguardia-35-45,garden,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-laguardia-35-45,payment_terms,[],NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-laguardia-35-45,promotions,[],NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-laguardia-35-45,known_unit_variants,[],HIGH,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-gallipoli19,contractor_company,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-gallipoli19,marketing_company,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-gallipoli19,financing_bank,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-gallipoli19,latitude,32.05899,HIGH,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-gallipoli19,longitude,34.79285,HIGH,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-gallipoli19,permit_status,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-gallipoli19,construction_status,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-gallipoli19,estimated_delivery,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-gallipoli19,number_of_buildings,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-gallipoli19,apartments_per_floor,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-gallipoli19,number_of_elevators,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-gallipoli19,room_range,[],NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-gallipoli19,area_range_sqm,[],NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-gallipoli19,parking,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-gallipoli19,storage,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-gallipoli19,mamad,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-gallipoli19,balcony,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-gallipoli19,garden,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-gallipoli19,payment_terms,[],NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-gallipoli19,promotions,[],NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-gallipoli19,known_unit_variants,[],HIGH,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-east-side,contractor_company,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-east-side,marketing_company,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-east-side,financing_bank,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-east-side,street,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-east-side,street_number,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-east-side,latitude,32.05899,HIGH,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-east-side,longitude,34.79285,HIGH,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-east-side,permit_status,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-east-side,construction_status,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-east-side,estimated_delivery,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-east-side,apartments_per_floor,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-east-side,number_of_elevators,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-east-side,room_range,[],NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-east-side,area_range_sqm,[],NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-east-side,parking,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-east-side,storage,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-east-side,mamad,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-east-side,balcony,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-east-side,garden,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-east-side,payment_terms,[],NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-east-side,promotions,[],NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-ybox-east-side,known_unit_variants,[],HIGH,MISSING_BEFORE_V2
project,נתניה,net-bereshit-family,contractor_company,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-bereshit-family,marketing_company,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-bereshit-family,architect,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-bereshit-family,financing_bank,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-bereshit-family,latitude,32.30321,HIGH,MISSING_BEFORE_V2
project,נתניה,net-bereshit-family,longitude,34.87567,HIGH,MISSING_BEFORE_V2
project,נתניה,net-bereshit-family,permit_status,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-bereshit-family,construction_status,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-bereshit-family,estimated_delivery,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-bereshit-family,apartments_per_floor,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-bereshit-family,number_of_elevators,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-bereshit-family,area_range_sqm,[],NORMAL,MISSING_BEFORE_V2
project,נתניה,net-bereshit-family,storage,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-bereshit-family,balcony,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-bereshit-family,payment_terms,[],NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-tzamarot,marketing_company,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-tzamarot,architect,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-tzamarot,financing_bank,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-tzamarot,address,,HIGH,MISSING_BEFORE_V2
project,נתניה,net-gindi-tzamarot,street,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-tzamarot,street_number,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-tzamarot,latitude,32.30321,HIGH,MISSING_BEFORE_V2
project,נתניה,net-gindi-tzamarot,longitude,34.87567,HIGH,MISSING_BEFORE_V2
project,נתניה,net-gindi-tzamarot,permit_status,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-tzamarot,construction_status,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-tzamarot,estimated_delivery,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-tzamarot,number_of_buildings,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-tzamarot,number_of_floors,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-tzamarot,apartments_per_floor,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-tzamarot,number_of_elevators,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-tzamarot,area_range_sqm,[],NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-tzamarot,parking,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-tzamarot,storage,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-tzamarot,mamad,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-tzamarot,payment_terms,[],NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-tzamarot,promotions,[],NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-tzamarot,known_unit_variants,[],HIGH,MISSING_BEFORE_V2
project,נתניה,net-mashknot-hapark,contractor_company,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-mashknot-hapark,marketing_company,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-mashknot-hapark,architect,,NORMAL,MISSING_BEFORE_V2
