match_type,special_type,address_special,address_normal,parcel_key,date_special,date_normal,date_difference_days,rooms_special,rooms_normal,area_special,area_normal,area_difference_pct,floor_special,floor_normal,price_special,price_normal,price_delta,price_delta_pct,ppm_special,ppm_normal,ppm_delta,ppm_delta_pct,source_special,source_normal,source_id_special,source_id_normal
same_parcel,garden,אבן עזרא 61,דרך ארץ 12,,2026-02-01,2026-07-23,172,3.0,3.0,74.0,80.0,0.075,0.0,,,,,,20270.0,11254.0,9016.0,0.8011373733783543,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,דרך ארץ 12,,2026-02-01,2026-07-21,170,3.0,3.0,74.0,80.0,0.075,0.0,,,,,,20270.0,11254.0,9016.0,0.8011373733783543,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,נחלה 7,,2026-02-01,2026-07-21,170,3.0,3.0,74.0,80.0,0.075,0.0,,,,,,20270.0,21000.0,-730.0,-0.034761904761904765,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,ניר עוז 14,,2026-02-01,2026-07-20,169,3.0,3.0,74.0,78.0,0.05128205128205128,0.0,,,,,,20270.0,20859.0,-589.0,-0.028237211755117696,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,,,2026-02-01,2026-07-20,169,3.0,3.0,74.0,76.0,0.02631578947368421,0.0,,,,,,20270.0,11520.0,8750.0,0.7595486111111112,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,אריה 12,,2026-02-01,2026-07-17,166,3.0,3.0,74.0,73.0,0.0136986301369863,0.0,,,,,,20270.0,14521.0,5749.0,0.3959093726327388,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,דרך ארץ 12,,2026-02-01,2026-07-16,165,3.0,3.0,74.0,79.0,0.06329113924050633,0.0,,,,,,20270.0,11232.0,9038.0,0.8046652421652422,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,אריה 16,,2026-02-01,2026-07-16,165,3.0,3.0,74.0,67.0,0.1044776119402985,0.0,,,,,,20270.0,17910.0,2360.0,0.13176996091568957,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,דרך ארץ 12,,2026-02-01,2026-07-15,164,3.0,3.0,74.0,79.0,0.06329113924050633,0.0,,,,,,20270.0,11212.0,9058.0,0.8078844095611845,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,דרך ארץ 12,,2026-02-01,2026-07-14,163,3.0,3.0,74.0,79.0,0.06329113924050633,0.0,,,,,,20270.0,11230.0,9040.0,0.804986642920748,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
